1491617558.03, 661.586696282, 332.199972649
1491617581.12, 661.400531487, 332.242000864
1491617604.64, 661.629843311, 332.31667299
1491617627.97, 661.446675504, 332.197757807
1491617650.91, 661.460452339, 332.384585921
1491617672.98, 661.592064053, 332.519588491
1491617696.01, 661.705700972, 332.266612048
1491617719.26, 661.610921645, 332.071843186
1491617742.14, 661.549603248, 332.29188515
1491617766.05, 661.491748518, 332.160962017
1491617789.58, 661.69827176, 332.343655501
1491617812.96, 661.630090131, 332.272828113
1491617836.53, 661.684197184, 332.157623719
1491617860.11, 661.603059266, 332.264789333
1491617883.17, 661.398027328, 332.218621314
1491617906.44, 661.701133376, 332.401442485
1491617930.15, 661.707478536, 332.309787778
1491617953.81, 661.621013801, 332.182008664
1491617976.79, 661.362294753, 332.208372185
1491618000.31, 661.651568893, 332.386448063
1491618023.77, 661.49859545, 332.440199407
1491618046.64, 661.439473835, 332.178612314
1491618070.93, 661.51872155, 332.645167932
1491618094.54, 661.813330688, 332.473317173
1491618117.99, 661.723182942, 331.953867244
1491618140.46, 661.621294789, 332.466009161
1491618163.59, 661.676663409, 332.170705463
1491618186.38, 661.643695221, 332.386807779
1491618209.61, 661.767312781, 332.145692478
1491618233.27, 661.73094593, 332.177059318
1491618256.51, 661.756186258, 332.230110859
1491618280.01, 661.642832224, 331.98421724
1491618302.86, 661.747771545, 332.140361246
1491618325.98, 661.475530037, 332.432659089
1491618348.74, 661.603854634, 331.956559698
1491618371.37, 661.703335229, 332.014806863
1491618395.02, 661.589460462, 332.609223349
1491618417.18, 661.792667055, 332.222513319
1491618439.92, 661.579179073, 332.239106166
1491618462.53, 661.526945363, 332.202920261
1491618485.58, 661.65425834, 332.020881749
1491618508.15, 661.495881463, 332.181382364
1491618531.12, 661.527026582, 332.372882338
1491618553.54, 661.653422915, 332.119759355
1491618576.09, 661.698783852, 332.369880634
1491618599.67, 661.514024008, 332.13610839
1491618622.28, 661.642689166, 332.346905509
1491618645.13, 661.947184583, 332.129517197
1491618668.35, 661.651604166, 332.274727195
1491618692.68, 661.512843063, 331.840741838
1491618715.87, 661.691193417, 332.189821996
1491618738.84, 661.566121329, 332.102468964
1491618760.66, 661.656559927, 332.135656677
1491618783.92, 661.573985576, 332.349177
1491618806.44, 661.454901885, 332.090393085
1491618828.77, 661.513622726, 331.942089977
1491618852.24, 661.435638849, 331.911185187
1491618875.56, 661.783671355, 332.124799362
1491618897.98, 661.580112255, 331.939731058
1491618921.28, 661.854749499, 332.683018347
1491618943.6, 661.601309026, 332.366174664
1491618966.02, 661.967288452, 332.419693557
1491618989.38, 661.602225848, 332.125983609
1491619012.73, 661.638155361, 331.920840556
1491619036.7, 661.47328478, 332.248517376
1491619059.36, 661.43393722, 332.282564321
1491619083.16, 661.71824932, 332.201376679
1491619105.88, 661.754824266, 331.945145818
1491619128.85, 661.667723884, 332.149682556
1491619152.01, 661.485766323, 332.290054875
1491619173.9, 661.639069377, 332.359226252
1491619196.1, 661.512564282, 332.107977216
1491619218.99, 661.620288628, 332.26969756
1491619241.93, 661.725102947, 332.104476165
1491619264.91, 661.6033304, 332.202943421
1491619287.76, 661.488568322, 332.09088619
1491619310.11, 661.522085821, 332.055623051
1491619333.69, 661.470390375, 332.275667822
1491619356.02, 661.702601257, 332.29296598
1491619378.77, 661.212899471, 332.454615104
1491619402.48, 661.866753703, 332.227044175
1491619425.46, 661.618063494, 332.343087198
1491619449.06, 661.765158738, 331.889985666
1491619472.06, 661.677047858, 332.091202263
1491619495.14, 661.552153858, 331.769457094
1491619518.02, 661.473682591, 331.901515309
1491619540.98, 661.446348282, 332.513743499
1491619563.87, 661.656930067, 332.07348317
1491619587.14, 661.534297164, 332.258150381
1491619610.72, 661.686665238, 332.205758087
1491619633.56, 661.328480132, 332.257288515
1491619656.35, 661.520270989, 332.135571553
1491619679.3, 661.720945666, 332.206708375
1491619703.37, 661.62718699, 332.249809483
1491619726.5, 661.597807991, 332.053269806
1491619750.37, 661.477771606, 332.319108167
1491619773.86, 661.610077668, 332.273890459
1491619796.8, 661.739165907, 332.028944445
1491619819.43, 661.63811719, 332.201621525
1491619842.46, 661.547436129, 332.327309972
1491619864.79, 661.674458729, 332.023660971
1491619887.81, 661.706337888, 332.257193401
1491619910.92, 661.396653675, 332.05362143
1491619933.22, 661.567334467, 331.771711968
1491619956.79, 661.371921391, 331.977533422
1491619980.09, 661.538129315, 332.086168819
1491620003.4, 661.67725313, 332.410260046
1491620026.58, 661.786326568, 332.00859293
1491620049.19, 661.624230056, 332.204372904
1491620071.61, 661.7070897, 332.04076897
1491620093.79, 661.619501857, 332.16230945
1491620116.91, 661.560567162, 331.998532194
1491620139.73, 661.550749452, 331.738555778
1491620161.65, 661.739495858, 332.277168184
1491620185.11, 661.590532054, 332.276141903
1491620208.33, 661.615628296, 332.047503274
1491620231.04, 661.559627424, 331.75590886
1491620253.82, 661.530660963, 331.948034396
1491620276.81, 661.606238866, 332.176317335
1491620299.62, 661.481912697, 332.164814403
1491620322.48, 661.655128813, 332.105247717
1491620346.05, 661.657043105, 331.859328979
1491620368.11, 661.363705997, 331.817407277
1491620390.54, 661.524642716, 332.342470811
1491620413.24, 661.63441464, 331.87272741
1491620437.2, 661.606798792, 332.431885767
1491620459.71, 661.529986967, 332.279119504
1491620482.72, 661.653150293, 332.025850463
1491620505.83, 661.634047224, 332.135650732
1491620528.36, 661.601706359, 332.16842888
1491620552.1, 661.579922068, 331.998272747
1491620574.91, 661.498807896, 332.142852239
1491620598.64, 661.672398513, 331.970657303
