,x_t,x_l,x_ct,x_cl
153,57.7638266069,61.0568011958,57.480053598,60.7238563744
154,57.0874811463,61.8190045249,57.1197423436,61.2669174835
155,57.3225308642,60.799382716,56.9329711601,61.2091353168
156,57.8634969325,60.9524539877,57.9875011125,61.246632738
157,57.6696696697,62.1456456456,57.1951638131,61.3997701692
158,58.1946508172,59.661218425,59.7053316315,59.7560111146
159,57.7037593985,61.4015037594,58.4664983046,60.1983081061
160,57.7218844985,61.1869300912,59.0758122643,60.7359420135
161,57.1979166667,60.6369047619,57.7663434094,60.8993813796
162,57.6297420334,61.2321699545,57.2118617305,61.5647516231
163,58.2068452381,61.099702381,57.9644883293,60.2982964006
164,58.60625,59.659375,58.1035966588,60.3285032028
165,57.6559297218,61.5095168375,58.2185079181,61.1036028829
166,57.5791044776,61.9895522388,57.5156633055,61.9189424629
167,58.0015128593,61.3509833585,58.0050291763,61.1583788862
168,57.6052631579,60.7832817337,58.1896273372,60.4048997293
169,57.8683431953,61.7233727811,58.5813653757,60.493980504
170,57.6987951807,61.2891566265,57.6911859249,60.9858106872
171,57.2519440124,61.1524105754,58.2967178523,60.7190648763
172,57.7283763278,60.9484066768,57.9440701182,61.3987229924
173,57.6582089552,60.9701492537,58.0808217118,60.8812925747
174,57.9459459459,60.7747747748,57.6115798452,60.9901050247
175,57.8238021638,61.6244204019,57.5501135136,61.1562855909
176,57.403030303,60.6106060606,58.1285869944,60.417654443
177,58.0618401207,61.5897435897,58.4665516553,60.8072830926
178,58.3941717791,59.6319018405,58.3323087409,59.4087403621
179,57.609939759,61.7469879518,58.4772865661,61.3102562653
180,57.8038348083,60.5294985251,58.5082402664,60.5011687006
181,56.9457013575,62.3921568627,57.3674045545,62.0991275764
182,57.6068249258,61.6231454006,57.8458256364,61.3463161704
183,56.8237885463,62.1057268722,56.7518118543,62.0464543684
184,57.3039647577,61.2393538913,57.0402431372,61.5132684574
185,58.583090379,61.0072886297,58.7939383053,59.6789224553
186,57.8015037594,62.0932330827,57.7691866493,61.3597875395
187,58.1031390135,61.0014947683,58.1565526427,60.5897486352
188,57.6801801802,60.7282282282,57.9274721108,61.2071184075
189,57.7260479042,60.7110778443,57.6345211739,60.3783934273
190,57.6914893617,60.811550152,57.5165642242,61.0961881226
191,57.9535232384,61.700149925,57.9726831756,61.2693061922
192,58.1473684211,61.0496240602,57.9824602836,60.9661596244
193,58.027027027,61.1816816817,57.3722511878,61.4827337238
194,58.328358209,60.3104477612,57.999828235,60.4812782058
195,57.9423368741,61.6236722307,58.0315899082,60.8636270966
196,57.9289940828,62.375739645,57.4762180852,61.8214042941
197,58.1909774436,60.2255639098,57.855295829,61.1271734064
198,57.4576523031,60.9717682021,58.110014422,60.5893984574
199,57.8042168675,60.8629518072,57.3806894041,61.7141802687
200,58.1776119403,61.6746268657,58.1020018637,61.0946360247
201,57.9125188537,61.8974358974,57.1242644948,61.1005623235
202,56.9807407407,62.1585185185,56.5124582058,62.2447713064
203,57.4,62.5636363636,56.8714924262,61.2752360542
204,57.4757575758,61.3075757576,57.3944294467,61.2738662527
205,58.77696793,60.7317784257,58.5129084535,60.5938599965
206,57.9764011799,61.5235988201,57.4751786413,61.9700195284
207,58.2948148148,61.3896296296,57.8461378889,61.0928491689
208,57.376344086,62.1674347158,57.4710345095,61.7261981498
209,57.2995594714,60.8193832599,57.7174713761,61.206361385
210,57.4984984985,61.0495495495,57.1663316263,61.5715427976
211,56.7645259939,61.8119266055,56.3951205686,62.3098829686
212,58.3541033435,62.3145896657,58.3212920056,60.7651382217
213,58.2361733931,60.0941704036,58.1338899987,60.4858693966
214,56.9297709924,60.9603053435,57.4973971492,61.199122044
215,57.0092307692,61.0230769231,56.5766993446,61.9420126735
216,57.0989505247,61.7571214393,57.1017932756,61.3277376104
217,58.1253869969,61.26625387,57.8618743411,60.8062781641
218,57.7397881997,61.3040847201,57.6743829489,60.6041964152
219,57.575617284,60.9367283951,57.7148931229,61.1058399952
220,56.9772727273,61.2833333333,56.9992498056,61.8254798986
221,56.7153965785,60.3872472784,56.513721876,61.3917226285
222,57.7523076923,60.2938461538,58.2459857679,60.1679000523
223,57.2848664688,62.2002967359,57.0103571565,61.7435927984
224,57.8619119879,60.3763277693,58.6087549203,60.0632305337
225,57.3119266055,61.0168195719,58.0676336604,60.3624789083
226,57.4682779456,62.1419939577,57.4806263763,61.3332627483
227,57.4915514593,61.4362519201,57.7775639544,60.9773736693
228,57.0818965517,60.9051724138,57.8332313971,60.820657848
229,57.459375,62.021875,57.3094564323,61.2748045505
230,57.0197568389,62.0653495441,57.6311745876,60.7001541263
231,56.8126934985,61.866873065,57.3433057752,61.5304337556
232,57.4812030075,61.3187969925,58.0791117658,60.5518564253
233,57.494011976,61.3907185629,58.4477656613,61.5322516565
234,56.6182380216,61.8438948995,57.1709015566,60.9582954677
235,57.8072837633,61.871016692,58.3231760791,60.6393402468
236,57.7755725191,60.0106870229,57.3355847727,61.1431407822
237,57.2954898911,61.6407465008,57.2591699178,61.1165434449
238,57.5108359133,61.0077399381,57.7712000002,61.0674491381
239,57.2815829528,61.8082191781,57.4975265856,61.1402592746
240,57.5399698341,60.8898944193,57.2692870353,61.1528594677
241,57.9679389313,61.5435114504,58.0558792063,60.9418390529
242,57.5148205928,62.0889235569,57.1707973198,61.0987600246
243,58.0104321908,60.6169895678,57.8059188228,60.6011208854
244,58.1236641221,60.906870229,57.5655151858,60.9736293263
245,57.489827856,60.8419405321,57.5140857115,61.3444917719
246,57.8355754858,60.889387145,57.3281204284,61.4653442815
247,57.950617284,60.7824074074,58.4250046895,60.999543875
248,58.0758725341,61.4597875569,56.9500002666,61.6148376221
249,56.8482972136,62.2910216718,56.6201606966,62.4425283657
